,response1,subjectID,age,gender,numberofsiblings,gamestrategy
0,"{
    ""subjectID"": ""abc12345"",
    ""age"": 29,
    ""gender"": ""female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {
            ""organization"": ""Red Cross"",
            ""amount"": 50,
            ""date"": ""2022-01-15""
        },
        {
            ""organization"": ""Local Food Bank"",
            ""amount"": 30,
            ""date"": ""2022-08-10""
        }
    ],
    ""strategy"": [
        {
            ""game"": 1,
            ""role"": ""A"",
            ""decision"": ""cooperate""
        },
        {
            ""game"": 2,
            ""role"": ""B"",
            ""decision"": ""match partner's previous choice""
        },
        {
            ""game"": 3,
            ""role"": ""A"",
            ""decision"": ""take risk""
        },
        {
            ""game"": 4,
            ""role"": ""B"",
            ""decision"": ""optimize for self-interest""
        },
        {
            ""game"": 5,
            ""role"": ""A"",
            ""decision"": ""negotiate""
        },
        {
            ""game"": 6,
            ""role"": ""B"",
            ""decision"": ""trust partner""
        },
        {
            ""game"": 7,
            ""role"": ""A"",
            ""decision"": ""consider fairness""
        }
    ]
}",abc12345,29,female,2,"[{'game': 1, 'role': 'A', 'decision': 'cooperate'}, {'game': 2, 'role': 'B', 'decision': ""match partner's previous choice""}, {'game': 3, 'role': 'A', 'decision': 'take risk'}, {'game': 4, 'role': 'B', 'decision': 'optimize for self-interest'}, {'game': 5, 'role': 'A', 'decision': 'negotiate'}, {'game': 6, 'role': 'B', 'decision': 'trust partner'}, {'game': 7, 'role': 'A', 'decision': 'consider fairness'}]"
1,"{
  ""subjectID"": ""AB123456"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-01-15""
    },
    {
      ""organization"": ""Doctors Without Borders"",
      ""amount"": 30,
      ""date"": ""2022-05-20""
    },
    {
      ""organization"": ""World Wildlife Fund"",
      ""amount"": 40,
      ""date"": ""2023-03-10""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Match opponent's decision""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Maximize personal gain""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Tit-for-tat""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Fair split""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""Random choice""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Altruistic""
    }
  ]
}",AB123456,29,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': ""Match opponent's decision""}, {'game': 3, 'role': 'A', 'decision': 'Maximize personal gain'}, {'game': 4, 'role': 'B', 'decision': 'Tit-for-tat'}, {'game': 5, 'role': 'A', 'decision': 'Fair split'}, {'game': 6, 'role': 'B', 'decision': 'Random choice'}, {'game': 7, 'role': 'A', 'decision': 'Altruistic'}]"
2,"{
  ""subjectID"": ""participant_12458"",
  ""age"": 29,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""date"": ""2021-05-15"",
      ""amount"": 50,
      ""organization"": ""Red Cross""
    },
    {
      ""date"": ""2022-11-20"",
      ""amount"": 75,
      ""organization"": ""World Wildlife Fund""
    }
  ],
  ""strategy"": {
    ""Game1"": ""Tit-for-Tat"",
    ""Game2"": ""Cooperative"",
    ""Game3"": ""Randomized"",
    ""Game4"": ""Risk-Averse"",
    ""Game5"": ""Altruistic"",
    ""Game6"": ""Competitive"",
    ""Game7"": ""Tit-for-Tat""
  }
}",participant_12458,29,female,2,"{'Game1': 'Tit-for-Tat', 'Game2': 'Cooperative', 'Game3': 'Randomized', 'Game4': 'Risk-Averse', 'Game5': 'Altruistic', 'Game6': 'Competitive', 'Game7': 'Tit-for-Tat'}"
3,"{
  ""subjectID"": ""P12345"",
  ""age"": 30,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""amount"": 50,
      ""year"": 2022,
      ""organization"": ""Cancer Research Institute""
    },
    {
      ""amount"": 30,
      ""year"": 2021,
      ""organization"": ""Wildlife Conservation Network""
    }
  ],
  ""strategy"": [
    {
      ""game"": ""Ultimatum"",
      ""role"": ""A"",
      ""decision"": ""Offer 40% of the total amount to B""
    },
    {
      ""game"": ""Trust"",
      ""role"": ""B"",
      ""decision"": ""Return 50% of the tripled amount to A""
    },
    {
      ""game"": ""Public Goods"",
      ""role"": ""A"",
      ""decision"": ""Contribute 20% of the initial endowment to the public pot""
    },
    {
      ""game"": ""Dictator"",
      ""role"": ""A"",
      ""decision"": ""Give 10% of the total amount to B""
    },
    {
      ""game"": ""Prisoner's Dilemma"",
      ""role"": ""B"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": ""Battle of the Sexes"",
      ""role"": ""A"",
      ""decision"": ""Choose Movie option""
    },
    {
      ""game"": ""Stag Hunt"",
      ""role"": ""A"",
      ""decision"": ""Hunt the stag""
    }
  ]
}",P12345,30,Female,2,"[{'game': 'Ultimatum', 'role': 'A', 'decision': 'Offer 40% of the total amount to B'}, {'game': 'Trust', 'role': 'B', 'decision': 'Return 50% of the tripled amount to A'}, {'game': 'Public Goods', 'role': 'A', 'decision': 'Contribute 20% of the initial endowment to the public pot'}, {'game': 'Dictator', 'role': 'A', 'decision': 'Give 10% of the total amount to B'}, {'game': ""Prisoner's Dilemma"", 'role': 'B', 'decision': 'Cooperate'}, {'game': 'Battle of the Sexes', 'role': 'A', 'decision': 'Choose Movie option'}, {'game': 'Stag Hunt', 'role': 'A', 'decision': 'Hunt the stag'}]"
4,"{
  ""subjectID"": ""participant_12345"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""date"": ""2022-01-15"",
      ""amount"": 50,
      ""organization"": ""Red Cross""
    },
    {
      ""date"": ""2023-05-10"",
      ""amount"": 100,
      ""organization"": ""World Wildlife Fund""
    }
  ],
  ""strategy"": [
    {
      ""game"": ""Game 1"",
      ""role"": ""A"",
      ""decision"": ""Cooperate"",
      ""rationale"": ""Believes in the potential for mutual benefit through cooperation.""
    },
    {
      ""game"": ""Game 2"",
      ""role"": ""B"",
      ""decision"": ""Match partner's previous move"",
      ""rationale"": ""Supports a tit-for-tat strategy to encourage positive behavior.""
    },
    {
      ""game"": ""Game 3"",
      ""role"": ""A"",
      ""decision"": ""Altruistic"",
      ""rationale"": ""Preference for giving even at a personal cost.""
    }
  ]
}",participant_12345,29,Female,2,"[{'game': 'Game 1', 'role': 'A', 'decision': 'Cooperate', 'rationale': 'Believes in the potential for mutual benefit through cooperation.'}, {'game': 'Game 2', 'role': 'B', 'decision': ""Match partner's previous move"", 'rationale': 'Supports a tit-for-tat strategy to encourage positive behavior.'}, {'game': 'Game 3', 'role': 'A', 'decision': 'Altruistic', 'rationale': 'Preference for giving even at a personal cost.'}]"
5,"{
    ""subjectID"": ""P123456"",
    ""age"": 29,
    ""gender"": ""female"",
    ""numberSiblings"": 2,
    ""donation"": [
        {
            ""date"": ""2022-03-15"",
            ""amount"": 50,
            ""organization"": ""Red Cross""
        },
        {
            ""date"": ""2022-06-10"",
            ""amount"": 30,
            ""organization"": ""World Wildlife Fund""
        },
        {
            ""date"": ""2023-01-05"",
            ""amount"": 25,
            ""organization"": ""Doctors Without Borders""
        }
    ],
    ""strategy"": [
        {
            ""game"": ""Trust Game"",
            ""role"": ""A"",
            ""strategy"": ""always trust and send 50%""
        },
        {
            ""game"": ""Ultimatum Game"",
            ""role"": ""B"",
            ""strategy"": ""accept any offer above 20%""
        },
        {
            ""game"": ""Public Goods Game"",
            ""role"": ""participant"",
            ""strategy"": ""contribute 40%""
        },
        {
            ""game"": ""Dictator Game"",
            ""role"": ""A"",
            ""strategy"": ""give 30%""
        },
        {
            ""game"": ""Prisoner's Dilemma"",
            ""role"": ""A"",
            ""strategy"": ""cooperate unless betrayed in a previous sequential interaction""
        },
        {
            ""game"": ""Stag Hunt"",
            ""role"": ""A"",
            ""strategy"": ""hunt stag if partner's history suggests cooperation; otherwise, hunt hare""
        },
        {
            ""game"": ""Coordination Game"",
            ""role"": ""A"",
            ""strategy"": ""choose option A if it maximizes total payoffs""
        }
    ]
}",P123456,29,female,2,"[{'game': 'Trust Game', 'role': 'A', 'strategy': 'always trust and send 50%'}, {'game': 'Ultimatum Game', 'role': 'B', 'strategy': 'accept any offer above 20%'}, {'game': 'Public Goods Game', 'role': 'participant', 'strategy': 'contribute 40%'}, {'game': 'Dictator Game', 'role': 'A', 'strategy': 'give 30%'}, {'game': ""Prisoner's Dilemma"", 'role': 'A', 'strategy': 'cooperate unless betrayed in a previous sequential interaction'}, {'game': 'Stag Hunt', 'role': 'A', 'strategy': ""hunt stag if partner's history suggests cooperation; otherwise, hunt hare""}, {'game': 'Coordination Game', 'role': 'A', 'strategy': 'choose option A if it maximizes total payoffs'}]"
6,"{
  ""subjectID"": ""A12345678"",
  ""age"": 30,
  ""gender"": ""Non-Binary"",
  ""numberSiblings"": 2,
  ""donation"": {
    ""totalAmount"": 500,
    ""history"": [
      {
        ""amount"": 100,
        ""charity"": ""Red Cross"",
        ""date"": ""2022-01-15""
      },
      {
        ""amount"": 150,
        ""charity"": ""UNICEF"",
        ""date"": ""2022-05-23""
      },
      {
        ""amount"": 250,
        ""charity"": ""Doctors Without Borders"",
        ""date"": ""2023-03-30""
      }
    ]
  },
  ""strategy"": {
    ""tit_for_tat"": true,
    ""random"": false,
    ""cooperative"": true,
    ""aggressive"": false
  }
}",A12345678,30,Non-Binary,2,"{'tit_for_tat': True, 'random': False, 'cooperative': True, 'aggressive': False}"
7,"{
  ""subjectID"": ""abc123"",
  ""age"": 29,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Local Animal Shelter"",
      ""amount"": 50,
      ""date"": ""2022-05-15""
    },
    {
      ""organization"": ""Cancer Research Foundation"",
      ""amount"": 20,
      ""date"": ""2023-03-03""
    }
  ],
  ""strategy"": [
    {
      ""game"": 1,
      ""role"": ""A"",
      ""decision"": ""Cooperate""
    },
    {
      ""game"": 2,
      ""role"": ""B"",
      ""decision"": ""Match A's decision""
    },
    {
      ""game"": 3,
      ""role"": ""A"",
      ""decision"": ""Defect""
    },
    {
      ""game"": 4,
      ""role"": ""B"",
      ""decision"": ""Reciprocate A's decision""
    },
    {
      ""game"": 5,
      ""role"": ""A"",
      ""decision"": ""Trust""
    },
    {
      ""game"": 6,
      ""role"": ""B"",
      ""decision"": ""Honor Trust""
    },
    {
      ""game"": 7,
      ""role"": ""A"",
      ""decision"": ""Maximize own payoff""
    }
  ]
}",abc123,29,Female,2,"[{'game': 1, 'role': 'A', 'decision': 'Cooperate'}, {'game': 2, 'role': 'B', 'decision': ""Match A's decision""}, {'game': 3, 'role': 'A', 'decision': 'Defect'}, {'game': 4, 'role': 'B', 'decision': ""Reciprocate A's decision""}, {'game': 5, 'role': 'A', 'decision': 'Trust'}, {'game': 6, 'role': 'B', 'decision': 'Honor Trust'}, {'game': 7, 'role': 'A', 'decision': 'Maximize own payoff'}]"
8,"{
  ""subjectID"": ""P123456"",
  ""age"": 29,
  ""gender"": ""female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""amount"": 25,
      ""to"": ""Charity A"",
      ""date"": ""2022-05-15""
    },
    {
      ""amount"": 50,
      ""to"": ""Charity B"",
      ""date"": ""2023-01-22""
    }
  ],
  ""strategy"": {
    ""game1"": ""Tit-for-Tat"",
    ""game2"": ""Random"",
    ""game3"": ""Cooperative"",
    ""game4"": ""Competitive"",
    ""game5"": ""Risk-Averse"",
    ""game6"": ""Altruistic"",
    ""game7"": ""Self-Interested""
  }
}",P123456,29,female,2,"{'game1': 'Tit-for-Tat', 'game2': 'Random', 'game3': 'Cooperative', 'game4': 'Competitive', 'game5': 'Risk-Averse', 'game6': 'Altruistic', 'game7': 'Self-Interested'}"
9,"{
  ""subjectID"": ""P0123456"",
  ""age"": 27,
  ""gender"": ""Female"",
  ""numberSiblings"": 2,
  ""donation"": [
    {
      ""organization"": ""Red Cross"",
      ""amount"": 50,
      ""date"": ""2022-03-15""
    },
    {
      ""organization"": ""UNICEF"",
      ""amount"": 30,
      ""date"": ""2022-09-22""
    }
  ],
  ""strategy"": {
    ""game1"": ""Tit for Tat"",
    ""game2"": ""Random"",
    ""game3"": ""Always Cooperate"",
    ""game4"": ""Grim Trigger"",
    ""game5"": ""Tit for Tat"",
    ""game6"": ""Always Defect"",
    ""game7"": ""Random""
  }
}",P0123456,27,Female,2,"{'game1': 'Tit for Tat', 'game2': 'Random', 'game3': 'Always Cooperate', 'game4': 'Grim Trigger', 'game5': 'Tit for Tat', 'game6': 'Always Defect', 'game7': 'Random'}"
